raw_spec_name,canonical,count
Brand,แบรนด์ (Brand),199
Power Tool Feature,คุณสมบัติเครื่องมือ (Power Tool Feature),129
Cordless,ไร้สาย (Cordless),125
Battery Core Type,ประเภทแบตเตอรี่ (Battery Core Type),124
Warranty Type,ประเภทการรับประกัน (Warranty Type),114
Drill Type,ประเภทเครื่องมือ (Tool Type),105
Warranty Period,ระยะเวลารับประกัน (Warranty Period),97
Model,รุ่น (Model),74
Tool Compatible With Surfaces,พื้นผิวที่ใช้ได้ (Surface Compatibility),45
Category,หมวดหมู่ Shopee (Category),43
อุปกรณ์ไฟฟ้า,อุปกรณ์ไฟฟ้า (Electric),41
ประเภทของการรับประกัน,ประเภทการรับประกัน (Warranty Type),35
ระยะเวลาการรับประกัน,ระยะเวลารับประกัน (Warranty Period),35
ประเภทการประกัน,ประเภทการรับประกัน (Warranty Type),31
Input Voltage,แรงดันไฟฟ้า (Input Voltage),29
Tool Type Of Accessories,อุปกรณ์ที่ให้มา (Tools Included),22
ประเภทสว่าน,ประเภทเครื่องมือ (Tool Type),22
Power Consumption,กำลังไฟ (Power),20
Plug Type,ปลั๊ก (Plug Type),19
แรงดันไฟฟ้านำเข้า,แรงดันไฟฟ้า (Input Voltage),19
ระยะเวลารับประกัน,ระยะเวลารับประกัน (Warranty Period),17
ระดับของทักษะ,ระดับทักษะ (Skill Level),16
Tools Included,อุปกรณ์ที่ให้มา (Tools Included),14
แรงดันไฟฟ้าขาเข้า (V),แรงดันไฟฟ้า (Input Voltage),14
No. of included Batteries,จำนวนแบตเตอรี่ (No. of Batteries),14
Material,วัสดุ (Material),14
ประเภทของสว่าน,ประเภทเครื่องมือ (Tool Type),13
Grinder Type,ประเภทเครื่องมือ (Tool Type),13
Multipack or Bundle,,12
Hand Tool Features,คุณสมบัติเครื่องมือ (Power Tool Feature),11
Welder Type,ประเภทเครื่องมือ (Tool Type),10
Place of Origin,แหล่งผลิต (Place of Origin),10
ความเข้ากันได้ของพื้นผิวเครื่องมือ,พื้นผิวที่ใช้ได้ (Surface Compatibility),8
Warranty,ประเภทการรับประกัน (Warranty Type),8
Fan Features,,8
Type Of Planers,ประเภทเครื่องมือ (Tool Type),7
Type Of Demolition Hammers,ประเภทเครื่องมือ (Tool Type),6
Type Of Rotary Tools,ประเภทเครื่องมือ (Tool Type),6
Air Compressor Type,ประเภทเครื่องมือ (Tool Type),6
Saw Type,ประเภทเครื่องมือ (Tool Type),6
Wheels,,6
Number of Blades,,6
พื้นผิวของเครื่องมือ,พื้นผิวที่ใช้ได้ (Surface Compatibility),6
Type Of Sanders,ประเภทเครื่องมือ (Tool Type),5
Product Feature,ประเภทสินค้า (Product Type),5
Outdoor Power Tool Type,ประเภทเครื่องมือ (Tool Type),5
ประเภทไร้สาย,ไร้สาย (Cordless),5
ประเภทของสินค้า,ประเภทสินค้า (Product Type),5
Type Of Nail Guns,ประเภทเครื่องมือ (Tool Type),4
Type Of Heat Guns,ประเภทเครื่องมือ (Tool Type),4
Extractor Type,ประเภทเครื่องมือ (Tool Type),4
Type Of Chisel,ประเภทเครื่องมือ (Tool Type),4
Type Grease Guns,ประเภทเครื่องมือ (Tool Type),4
Pruner Type,ประเภทเครื่องมือ (Tool Type),4
คุณสมบัติของสินค้า,คุณสมบัติเครื่องมือ (Power Tool Feature),4
Fan Blade Materials,,3
กำลัง,กำลังไฟ (Power),3
Power Tool Accessory Type,,2
Blade Length (inch),,2
วัสดุที่ใช้ในการผลิต,วัสดุ (Material),2
Type Of Replacement Parts,,1
Types Of Drill Bits,,1
Hand Tools Type,ประเภทเครื่องมือ (Tool Type),1
Place Of Origin,แหล่งผลิต (Place of Origin),1
Services,,1
Disc Size (inches),,1
Power Consumption (W),กำลังไฟ (Power),1
Torque lbf,,1
power_tool_amperage,,1
Return Policy,,1
zal_present,,1
Tool_Type,ประเภทเครื่องมือ (Tool Type),1
Type Of Mowers,ประเภทเครื่องมือ (Tool Type),1
Run_Time_per_Charge,,1
Charging_Time_(Mins),,1
Country of Origin,แหล่งผลิต (Place of Origin),1
Height,,1
Width,,1
Fan Speed (RPM),,1
Power Source,,1
Battery_Type,ประเภทแบตเตอรี่ (Battery Core Type),1
No. of Speeds,,1
Charging Port,,1
Wattage,กำลังไฟ (Power),1
Length,,1
Weight,,1
warranty,ประเภทการรับประกัน (Warranty Type),1
กำลังไฟ (W),กำลังไฟ (Power),1
ขนาด (ยาว x กว้าง x สูง),ขนาด (Dimensions),1
Tools type,ประเภทเครื่องมือ (Tool Type),1
Wire type,,1
หมายเลขมอก.,มอก. (TIS Certificate),1
TIS Certificate No.,มอก. (TIS Certificate),1
เว็บไซต์ใบอนุญาต มอก.,,1
ประเภทการรับประกัน,ประเภทการรับประกัน (Warranty Type),1
